Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
369,Terrence Ross\rosste01,SG,27,ORL,24,0,25.4,5.4,11.9,.456,2.3,5.6,.410,3.1,6.3,.497,.553,1.3,1.6,.842,0.2,2.8,3.0,1.7,0.9,0.5,1.4,2.0,14.5
370,Terry Rozier\roziete01,PG,24,BOS,23,1,22.2,3.1,8.2,.378,1.3,3.6,.354,1.8,4.6,.396,.455,0.8,1.1,.692,0.3,3.5,3.9,2.2,0.6,0.3,0.7,1.6,8.2
371,Ricky Rubio\rubiori01,PG,28,UTA,25,25,29.8,4.3,10.9,.393,1.4,4.3,.333,2.8,6.6,.433,.460,2.7,3.2,.827,0.3,3.2,3.5,6.4,1.5,0.2,3.0,3.0,12.7
372,D'Angelo Russell\russeda01,PG,22,BRK,25,25,29.1,7.0,17.1,.407,2.5,7.0,.356,4.5,10.1,.443,.480,1.6,2.2,.732,0.6,3.4,4.0,5.8,1.3,0.3,2.6,1.7,18.0
373,Domantas Sabonis\sabondo01,C,22,IND,23,1,24.9,5.6,8.8,.639,0.2,0.3,.833,5.4,8.5,.633,.651,2.9,3.8,.750,2.3,7.8,10.1,3.3,0.6,0.7,2.6,3.1,14.3
374,Dario Saric\saricda01,PF,24,TOT,23,13,26.8,3.7,9.5,.393,1.5,4.8,.309,2.3,4.7,.477,.470,1.8,2.0,.894,1.7,4.3,6.0,1.6,0.4,0.2,1.6,2.7,10.8
374,Dario Saric\saricda01,PF,24,PHI,13,13,30.5,3.7,10.2,.364,1.6,5.4,.300,2.1,4.8,.435,.443,2.1,2.3,.900,1.6,5.0,6.6,2.0,0.3,0.2,1.9,3.0,11.1
374,Dario Saric\saricda01,PF,24,MIN,10,0,22.1,3.8,8.7,.437,1.3,4.0,.325,2.5,4.7,.532,.511,1.5,1.7,.882,1.7,3.5,5.2,1.0,0.6,0.2,1.1,2.2,10.4
375,Tomas Satoransky\satorto01,SG,27,WAS,24,2,15.7,1.7,3.7,.461,0.3,1.0,.333,1.4,2.7,.508,.506,1.2,1.3,.906,0.5,1.3,1.8,2.7,0.6,0.2,0.7,1.6,5.0
376,Dennis Schroder\schrode01,PG,25,OKC,22,9,29.5,6.2,14.9,.419,1.4,4.1,.344,4.8,10.8,.447,.466,2.7,3.2,.857,0.6,3.9,4.5,5.1,1.2,0.2,3.0,2.6,16.6
377,Mike Scott\scottmi01,PF,30,LAC,23,0,15.3,1.9,4.3,.439,1.1,2.6,.433,0.7,1.7,.447,.571,0.1,0.1,1.000,0.3,3.1,3.4,1.0,0.4,0.2,0.6,1.7,5.0
378,Thabo Sefolosha\sefolth01,SF,34,UTA,11,0,9.4,0.5,1.5,.375,0.2,0.9,.200,0.4,0.5,.667,.438,0.5,0.5,.833,0.2,2.3,2.5,0.5,0.5,0.1,0.5,0.7,1.7
379,Wayne Selden\seldewa01,SG,24,MEM,20,0,16.2,2.2,5.4,.411,0.8,2.2,.341,1.5,3.2,.460,.481,0.7,0.8,.867,0.4,0.9,1.3,1.3,0.4,0.2,0.9,1.6,5.8
380,Collin Sexton\sextoco01,PG,20,CLE,23,13,28.9,5.8,13.1,.442,0.7,1.6,.417,5.1,11.5,.445,.467,2.3,2.6,.898,0.7,2.6,3.2,2.5,0.4,0.1,2.2,2.4,14.5
381,Landry Shamet\shamela01,SG,21,PHI,25,2,21.3,2.7,6.2,.436,1.8,4.6,.391,0.9,1.6,.561,.580,0.8,0.9,.870,0.2,1.2,1.4,1.1,0.5,0.1,0.6,1.8,8.0
382,Iman Shumpert\shumpim01,SG,28,SAC,20,18,25.4,3.3,7.5,.436,1.9,4.7,.394,1.4,2.8,.509,.560,1.1,1.2,.875,0.4,2.8,3.2,1.7,1.2,0.3,0.6,2.7,9.4
383,Pascal Siakam\siakapa01,PF,24,TOR,25,24,29.9,5.9,9.2,.636,0.6,1.8,.333,5.3,7.4,.710,.669,2.4,3.1,.782,1.2,5.2,6.4,2.6,1.1,0.6,1.5,3.1,14.8
384,Ben Simmons\simmobe01,PG,22,PHI,24,24,33.0,6.2,11.0,.563,0.0,0.0,,6.2,11.0,.563,.563,3.2,5.3,.598,1.9,6.9,8.8,7.9,1.4,0.8,3.4,2.8,15.5
385,Jonathon Simmons\simmojo02,SG,29,ORL,22,4,21.5,2.5,7.5,.327,0.5,2.2,.229,2.0,5.3,.368,.361,1.8,2.2,.833,0.5,2.0,2.5,2.4,0.5,0.5,1.2,1.8,7.2
386,Anfernee Simons\simonan01,SG,19,POR,5,0,6.8,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.2,0.8,.250,0.0,1.0,1.0,0.2,0.0,0.0,0.6,0.2,2.2
387,Marcus Smart\smartma01,SG,24,BOS,23,3,24.4,2.1,5.3,.398,1.1,3.3,.333,1.0,2.1,.500,.500,1.3,1.7,.769,0.7,2.0,2.7,4.0,1.5,0.5,1.4,2.7,6.7
388,Dennis Smith\smithde03,PG,21,DAL,20,20,28.5,5.1,11.6,.440,1.4,3.9,.359,3.7,7.7,.481,.500,1.9,2.9,.667,0.6,2.2,2.8,4.2,1.2,0.5,3.2,2.6,13.5
389,Ish Smith\smithis01,PG,30,DET,21,0,24.9,4.0,9.6,.421,1.2,3.5,.338,2.9,6.1,.469,.483,0.4,0.6,.667,0.0,1.9,2.0,3.1,0.5,0.3,1.1,2.4,9.7
390,J.R. Smith\smithjr01,SG,33,CLE,11,4,20.2,2.5,7.2,.342,1.1,3.5,.308,1.4,3.6,.375,.418,0.7,0.9,.800,0.0,1.6,1.6,1.9,1.0,0.3,1.0,1.7,6.7
391,Jason Smith\smithja02,C,32,WAS,11,1,11.2,1.4,3.2,.429,0.4,0.8,.444,1.0,2.4,.423,.486,0.8,0.9,.900,1.0,2.2,3.2,0.9,0.1,0.5,0.6,1.7,3.9
392,Tony Snell\snellto01,SG,27,MIL,22,0,16.0,2.2,4.9,.449,1.1,3.0,.379,1.0,1.9,.561,.565,0.5,0.6,.857,0.2,1.4,1.6,0.7,0.3,0.2,0.3,1.1,6.0
393,Ray Spalding\spaldra01,PF,21,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Omari Spellman\spellom01,PF,21,ATL,22,8,18.2,2.2,5.8,.386,0.9,2.7,.317,1.4,3.0,.448,.461,1.0,1.3,.750,1.9,2.5,4.5,1.0,0.8,0.6,0.7,1.5,6.3
